link,link-href,text,1
Ancient history,https://en.wikipedia.org/wiki/Ancient_history,"Ancient Greek technology developed at an unprecedented speed during the 5th century BC, continuing up to and including the Roman period, and beyond. Inventions that are credited to the ancient Greeks such as the gear, screw, bronze casting techniques, water clock, water organ, torsion catapult and the use of steam to operate some experimental machines and toys. Many of these inventions occurred late in the Greek period, often inspired by the need to improve weapons and tactics in war. Roman technology is the engineering practice which supported Roman civilization and made the expansion of Roman commerce and Roman military possible over nearly a thousand years. The Roman Empire had the most advanced set of technology of their time, some of which may have been lost during the turbulent eras of Late Antiquity and the Early Middle Ages. Roman technological feats of many different areas, like civil engineering, construction materials, transport technology, and some inventions such as the mechanical reaper went unmatched until the 19th century.",1
Linguistics,https://en.wikipedia.org/wiki/History_of_linguistics,"Historical linguistics also lead to the emergence of the semantics and some forms of pragmatics( Nerlich, 1992; Nerlich and Clarke, 1996).",0
Education,https://en.wikipedia.org/wiki/History_of_education,"Inca education during the time of the Inca Empire in the 15th and 16th centuries was divided into two principal spheres: education for the upper classes and education for the general population. The royal classes and a few specially chosen individuals from the provinces of the Empire were formally educated by the Amautas (wise men), while the general population learned knowledge and skills from their immediate forebears.",1
Sport,https://en.wikipedia.org/wiki/History_of_sport,Journals,1
History of the Middle East,https://en.wikipedia.org/wiki/History_of_the_Middle_East,"From the 7th century, a new power be rise in the Middle East, that of Islam, whilst the Byzantine Roman and Sassanid Persian empires be both weaken by centuries of stalemate warfare during the Roman–Persian Wars. In a series of rapid Muslim conquests, the Arab armies, motivate by Islam and lead by the Caliphs and skilled military commanders such as Khalid ibn al-Walid, sweep through most of the Middle East; reduce Byzantine lands by more than half and completely engulf the Persian lands. In Anatolia, their expansion be block by the still capable Byzantines with the help of the Bulgarians.",0
Ancient Egypt,https://en.wikipedia.org/wiki/Ancient_Egypt,"By the Second Dynasty at latest, ancient Egyptian trade with Byblos yield a critical source of quality timber not find in Egypt. By the Fifth Dynasty, trade with Punt provide gold, aromatic resins, ebony, ivory, and wild animals such as monkeys and baboons.[ 120] Egypt rely on trade with Anatolia for essential quantities of tin as well as supplementary supplies of copper, both metals be necessary for the manufacture of bronze. The ancient Egyptians prize the blue stone lapis lazuli, which have to be import from far-away Afghanistan. Egypt's Mediterranean trade partners also include Greece and Crete, which provide, among other goods, supplies of olive oil.[ 121] In exchange for its luxury imports and raw materials, Egypt mainly export grain, gold, linen, and papyrus, in addition to other finish goods include glass and stone objects.[ 122]",0
Communication,https://en.wikipedia.org/wiki/History_of_communication,"The Chinese script may have originated independently of the Middle Eastern scripts, around the 16th century BC (early Shang Dynasty), out of a late neolithic Chinese system of proto-writing dating back to c. 6000 BC. The pre-Columbian writing systems of the Americas, including Olmec and Mayan, are also generally believed to have had independent origins.",1
Antarctica,https://en.wikipedia.org/wiki/History_of_Antarctica,"During their forced stay, several men lost their sanity, not only because of the Antarctic winter night and the endured hardship, but also because of the language problems between the different nationalities. This was the first expedition to overwinter within the Antarctic Circle.[22][23]",1
Geology,https://en.wikipedia.org/wiki/History_of_geology,"With the application of scientific methods to the investigation of the Earth's history, the study of geology could become a distinct field of science. To begin with, the terminology and definition of what constitute geological study have to be work out. The term `` geology'' be first use technically in publications by two Genevan naturalists, Jean-André Deluc and Horace-Bénédict de Saussure,[ 15] though `` geology'' be not well receive as a term until it be take up in the very influential compendium, the Encyclopédie, publish begin in 1751 by Denis Diderot.[ 15] Once the term be establish to denote the study of the Earth and its history, geology slowly become more generally recognize as a distinct science that could be teach as a field of study at educational institutions. In 1741 the best-known institution in the field of natural history, the National Museum of Natural History in France, create the first teaching position designate specifically for geology.[ 16] This be an important step in further promote knowledge of geology as a science and in recognize the value of widely disseminate such knowledge.",0
Scientific method,https://en.wikipedia.org/wiki/History_of_scientific_method,"In his work Kαvώv('canon', a straight edge or ruler, thus any type of measure or standard, refer to as'canonic'), Epicurus lay out his first rule for inquiry in physics:'that the first concepts be see,[ 22]: p.20 and that they not require demonstration'.[ 22]: pp.35–47",0
